"matchid","first_team","first_team_goals","firstplayername","firstplayersurname","second_team","second_team_goals","secondplayername","secondplayersurname","date","stadium","outgoingplayername","outgoingplayersurname","incomingplayername","incomingplayersurname"
10,"Italy",4,"Enrico","Albertosi","West Germany",3,"Berti","Vegts","1970-06-17","Estadio Azteca","Bernd","Patzke","Sigfried","Held"
8,"Manchester United",2,"Peter","Schmeichel","Bayern",1,"Samuel","Kuffour","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
7,"Argentina",2,"Jose","Luis Cuciuffo","England",1,"Steve","Hodge","1986-06-22","Estadio Azteca","Peter","Reid","Chris","Waddle"
7,"Argentina",2,"Sergio","Batista","England",1,"Glenn","Hoddle","1986-06-22","Estadio Azteca","Jorge","Burruchaga","Carlos","Daniel Tapia"
2,"Liverpool",5,"Stephane","Henchoz","Alaves",4,"Cosmin","Contra","2001-05-16","BVB Stadion Dortmund","Michael","Owen","Patrik","Berger"
6,"Milan",3,"Paolo","Maldini","Liverpool",3,"Milan","Baros","2005-05-25","Ataturk Olimpiyat Stadyumu","Steve","Finnan","Dietmar","Hamann"
6,"Milan",3,"Hernan","Crespo","Liverpool",3,"Djimi","Traore","2005-05-25","Ataturk Olimpiyat Stadyumu","Steve","Finnan","Dietmar","Hamann"
6,"Milan",3,"Alessandro","Nesta","Liverpool",3,"Jamie","Carragher","2005-05-25","Ataturk Olimpiyat Stadyumu","Clarence","Seedorf","","Serginho"
9,"Italy",3,"Paolo","Maldini","Brazil",3,"Claudio","Taffarel","1997-06-08","Stade de Gerland","Dino","Baggio","Diego","Fuser"
8,"Manchester United",2,"Jaap","Stam","Bayern",1,"Michael","Tarnat","1999-05-26","Camp Nou","Lothar","Matthaus","Thorsten","Fink"
1,"Chelsea",4,"Ricardo","Carvalho","Liverpool",4,"Dirk","Kuyt","2009-04-14","Stamford Bridge","Fernando","Torres","David","Ngog"
7,"Argentina",2,"Jorge","Valdano","England",1,"Terry","Butcher","1986-06-22","Estadio Azteca","Jorge","Burruchaga","Carlos","Daniel Tapia"
3,"France",2,"Lilian","Thuram","Portugal",1,"Sergio","Conceicao","2000-06-28","King Baudouin Stadium","Jose","Luis Vidigal","Paulo","Bento"
2,"Liverpool",5,"Markus","Babbel","Alaves",4,"Martin","Herrera","2001-05-16","BVB Stadion Dortmund","Javi","Moreno","Juan","Pablo"
10,"Italy",4,"Pierluigi","Cera","West Germany",3,"Willi","Schulz","1970-06-17","Estadio Azteca","Hannes","Lohr","Reinhard","Libuda"
9,"Italy",3,"Dino","Baggio","Brazil",3,"Celio","Silva","1997-06-08","Stade de Gerland","Mauro","Silva","Flavio","Conceicao"
2,"Liverpool",5,"Jamie","Carragher","Alaves",4,"Delfi","Geli","2001-05-16","BVB Stadion Dortmund","Martin","Astudillo","Mocellin","Magno"
8,"Manchester United",2,"Nicky","Butt","Bayern",1,"Samuel","Kuffour","1999-05-26","Camp Nou","Mario","Basler","Hasan","Salihamidzic"
7,"Argentina",2,"Ricardo","Giusti","England",1,"Peter","Reid","1986-06-22","Estadio Azteca","Trevor","Steven","John","Barnes"
10,"Italy",4,"Roberto","Boninsegna","West Germany",3,"Wolfgang","Overath","1970-06-17","Estadio Azteca","Bernd","Patzke","Sigfried","Held"
4,"Brazil",1,"Carlos","Alberto Torres","England",0,"Gordon","Banks","1970-06-07","Jalisco Stadium","","Tostao","Roberto","Lopes de Miranda"
8,"Manchester United",2,"Jesper","Blomqvist","Bayern",1,"Samuel","Kuffour","1999-05-26","Camp Nou","Jesper","Blomqvist","Teddy","Sheringham"
4,"Brazil",1,"","Caju","England",0,"Bobby","Charlton","1970-06-07","Jalisco Stadium","Francis","Henry Lee","Colin","Bell"
2,"Liverpool",5,"Michael","Owen","Alaves",4,"Dan","Eggen","2001-05-16","BVB Stadion Dortmund","Stephane","Henchoz","Vladimir","Smicer"
6,"Milan",3,"Jaap","Stam","Liverpool",3,"Djimi","Traore","2005-05-25","Ataturk Olimpiyat Stadyumu","Harry","Kewell","Vladimir","Smicer"
6,"Milan",3,"Andriy","Shevchenko","Liverpool",3,"Djimi","Traore","2005-05-25","Ataturk Olimpiyat Stadyumu","Hernan","Crespo","Jon","Dahl Tomasson"
10,"Italy",4,"Roberto","Rosato","West Germany",3,"Franz","Beckenbauer","1970-06-17","Estadio Azteca","Hannes","Lohr","Reinhard","Libuda"
9,"Italy",3,"Alessandro","Del Piero","Brazil",3,"","Cafu","1997-06-08","Stade de Gerland","Paolo","Maldini","Angelo","Di Livio"
3,"France",2,"Thierry","Henry","Portugal",1,"Rui","Costa","2000-06-28","King Baudouin Stadium","Thierry","Henry","David","Trezeguet"
