"matchid","first_team","first_team_goals","firstplayername","firstplayersurname","second_team","second_team_goals","secondplayername","secondplayersurname","date","stadium","outgoingplayername","outgoingplayersurname","incomingplayername","incomingplayersurname"
6,"Milan",3,"Paolo","Maldini","Liverpool",3,"Djimi","Traore","2005-05-25","Ataturk Olimpiyat Stadyumu","Harry","Kewell","Vladimir","Smicer"
9,"Italy",3,"Christian","Vieri","Brazil",3,"","Ronaldo","1997-06-08","Stade de Gerland","Christian","Vieri","Filippo","Inzaghi"
6,"Milan",3,"Clarence","Seedorf","Liverpool",3,"Djimi","Traore","2005-05-25","Ataturk Olimpiyat Stadyumu","Hernan","Crespo","Jon","Dahl Tomasson"
1,"Chelsea",4,"Michael","Essien","Liverpool",4,"Xabi","Alonso","2009-04-14","Stamford Bridge","Javier","Mascherano","Albert","Riera"
9,"Italy",3,"Fabio","Cannavaro","Brazil",3,"Mauro","Silva","1997-06-08","Stade de Gerland","Paolo","Maldini","Angelo","Di Livio"
1,"Chelsea",4,"Florent","Malouda","Liverpool",4,"Alvaro","Arbeola","2009-04-14","Stamford Bridge","Didier","Drogba","Franco","Di Santo"
3,"France",2,"Didier","Deschamps","Portugal",1,"Luis","Figo","2000-06-28","King Baudouin Stadium","Nicolas","Anelka","Sylvain","Wiltord"
4,"Brazil",1,"","Clodoaldo","England",0,"Brian","Labone","1970-06-07","Jalisco Stadium","Bobby","Charlton","Jeff","Astle"
10,"Italy",4,"Roberto","Rosato","West Germany",3,"Sepp","Maier","1970-06-17","Estadio Azteca","Roberto","Rosato","Fabrizio","Poletti"
7,"Argentina",2,"Nery","Pumpido","England",1,"Terry","Butcher","1986-06-22","Estadio Azteca","Jorge","Burruchaga","Carlos","Daniel Tapia"
1,"Chelsea",4,"Ashley","Cole","Liverpool",4,"Alvaro","Arbeola","2009-04-14","Stamford Bridge","Didier","Drogba","Franco","Di Santo"
3,"France",2,"Marcel","Desailly","Portugal",1,"Vitor","Baia","2000-06-28","King Baudouin Stadium","Nicolas","Anelka","Sylvain","Wiltord"
1,"Chelsea",4,"","Alex","Liverpool",4,"Alvaro","Arbeola","2009-04-14","Stamford Bridge","Alvaro","Arbeola","Ryan","Babel"
6,"Milan",3,"Andriy","Shevchenko","Liverpool",3,"Jamie","Carragher","2005-05-25","Ataturk Olimpiyat Stadyumu","Gennaro","Gattuso","Rui","Costa"
2,"Liverpool",5,"Emile","Heskey","Alaves",4,"Jordi","Cruyff","2001-05-16","BVB Stadion Dortmund","Martin","Astudillo","Mocellin","Magno"
3,"France",2,"Bixente","Lizarazu","Portugal",1,"Fernando","Couto","2000-06-28","King Baudouin Stadium","","Dimas","Rui","Jorge"
8,"Manchester United",2,"Jesper","Blomqvist","Bayern",1,"Samuel","Kuffour","1999-05-26","Camp Nou","Andy","Cole","Ole","Gunnar Solskjaer"
2,"Liverpool",5,"Jamie","Carragher","Alaves",4,"Oscar","Tellez","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
5,"West Germany",3,"Werner","Kohlmeyer","Hungary",2,"Mihaly","Lantos","1954-07-04","Wankdorf Stadium",NULL,NULL,NULL,NULL
3,"France",2,"Thierry","Henry","Portugal",1,"Nuno","Gomes","2000-06-28","King Baudouin Stadium","Thierry","Henry","David","Trezeguet"
2,"Liverpool",5,"Sander","Westerveld","Alaves",4,"Cosmin","Contra","2001-05-16","BVB Stadion Dortmund","Michael","Owen","Patrik","Berger"
5,"West Germany",3,"Josef","Posipal","Hungary",2,"Zoltan","Czibor","1954-07-04","Wankdorf Stadium",NULL,NULL,NULL,NULL
10,"Italy",4,"Giacinto","Facchetti","West Germany",3,"Karl-Heinz","Schnellinger","1970-06-17","Estadio Azteca","Roberto","Rosato","Fabrizio","Poletti"
3,"France",2,"Bixente","Lizarazu","Portugal",1,"Rui","Costa","2000-06-28","King Baudouin Stadium","Nicolas","Anelka","Sylvain","Wiltord"
6,"Milan",3,"Paolo","Maldini","Liverpool",3,"Luis","Garcia","2005-05-25","Ataturk Olimpiyat Stadyumu","Steve","Finnan","Dietmar","Hamann"
8,"Manchester United",2,"Gary","Neville","Bayern",1,"Lothar","Matthaus","1999-05-26","Camp Nou","Jesper","Blomqvist","Teddy","Sheringham"
6,"Milan",3,"Hernan","Crespo","Liverpool",3,"Sami","Hyypia","2005-05-25","Ataturk Olimpiyat Stadyumu","Steve","Finnan","Dietmar","Hamann"
8,"Manchester United",2,"Gary","Neville","Bayern",1,"Lothar","Matthaus","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
1,"Chelsea",4,"Frank","Lampard","Liverpool",4,"Yossi","Benayoun","2009-04-14","Stamford Bridge","Didier","Drogba","Franco","Di Santo"
9,"Italy",3,"Roberto","Di Matteo","Brazil",3,"","Ronaldo","1997-06-08","Stade de Gerland","Christian","Vieri","Filippo","Inzaghi"
3,"France",2,"Emmanuel","Petit","Portugal",1,"Rui","Costa","2000-06-28","King Baudouin Stadium","Jose","Luis Vidigal","Paulo","Bento"
1,"Chelsea",4,"","Alex","Liverpool",4,"Martin","Skrtel","2009-04-14","Stamford Bridge","Didier","Drogba","Franco","Di Santo"
9,"Italy",3,"Dino","Baggio","Brazil",3,"Mauro","Silva","1997-06-08","Stade de Gerland","Dino","Baggio","Diego","Fuser"
6,"Milan",3,"","Cafu","Liverpool",3,"Jamie","Carragher","2005-05-25","Ataturk Olimpiyat Stadyumu","Harry","Kewell","Vladimir","Smicer"
10,"Italy",4,"Pierluigi","Cera","West Germany",3,"Franz","Beckenbauer","1970-06-17","Estadio Azteca","Bernd","Patzke","Sigfried","Held"
2,"Liverpool",5,"Sander","Westerveld","Alaves",4,"Hermes","Desio","2001-05-16","BVB Stadion Dortmund","Javi","Moreno","Juan","Pablo"
10,"Italy",4,"Roberto","Boninsegna","West Germany",3,"Bernd","Patzke","1970-06-17","Estadio Azteca","Bernd","Patzke","Sigfried","Held"
6,"Milan",3,"Jaap","Stam","Liverpool",3,"John","Arne Riise","2005-05-25","Ataturk Olimpiyat Stadyumu","Clarence","Seedorf","","Serginho"
4,"Brazil",1,"","Jairzinho","England",0,"Geoff","Hurst","1970-06-07","Jalisco Stadium","Bobby","Charlton","Jeff","Astle"
8,"Manchester United",2,"Nicky","Butt","Bayern",1,"Lothar","Matthaus","1999-05-26","Camp Nou","Lothar","Matthaus","Thorsten","Fink"
4,"Brazil",1,"","Clodoaldo","England",0,"Tommy","Wright","1970-06-07","Jalisco Stadium","Bobby","Charlton","Jeff","Astle"
10,"Italy",4,"Sandro","Mazzola","West Germany",3,"Gerd","Muller","1970-06-17","Estadio Azteca","Sandro","Mazzola","Gianni","Rivera"
8,"Manchester United",2,"Ronny","Johnsen","Bayern",1,"Stefan","Effenberg","1999-05-26","Camp Nou","Jesper","Blomqvist","Teddy","Sheringham"
6,"Milan",3,"Clarence","Seedorf","Liverpool",3,"Milan","Baros","2005-05-25","Ataturk Olimpiyat Stadyumu","Steve","Finnan","Dietmar","Hamann"
3,"France",2,"Didier","Deschamps","Portugal",1,"","Dimas","2000-06-28","King Baudouin Stadium","Emmanuel","Petit","Robert","Pires"
2,"Liverpool",5,"Danny","Murphy","Alaves",4,"Oscar","Tellez","2001-05-16","BVB Stadion Dortmund","Martin","Astudillo","Mocellin","Magno"
3,"France",2,"Nicolas","Anelka","Portugal",1,"Vitor","Baia","2000-06-28","King Baudouin Stadium","Rui","Costa","Joao","Pinto"
2,"Liverpool",5,"Emile","Heskey","Alaves",4,"Martin","Herrera","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
6,"Milan",3,"Clarence","Seedorf","Liverpool",3,"Jamie","Carragher","2005-05-25","Ataturk Olimpiyat Stadyumu","Milan","Baros","Djibril","Cisse"
3,"France",2,"Zinedine","Zidane","Portugal",1,"Sergio","Conceicao","2000-06-28","King Baudouin Stadium","Emmanuel","Petit","Robert","Pires"
8,"Manchester United",2,"Jaap","Stam","Bayern",1,"Markus","Babbel","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
9,"Italy",3,"Gianluca","Pagliuca","Brazil",3,"","Romario","1997-06-08","Stade de Gerland","Dino","Baggio","Diego","Fuser"
6,"Milan",3,"Alessandro","Nesta","Liverpool",3,"John","Arne Riise","2005-05-25","Ataturk Olimpiyat Stadyumu","Harry","Kewell","Vladimir","Smicer"
10,"Italy",4,"Tarcisio","Burgnich","West Germany",3,"Sepp","Maier","1970-06-17","Estadio Azteca","Hannes","Lohr","Reinhard","Libuda"
8,"Manchester United",2,"Ronny","Johnsen","Bayern",1,"Alexander","Zickler","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
2,"Liverpool",5,"Didi","Hamann","Alaves",4,"Dan","Eggen","2001-05-16","BVB Stadion Dortmund","Michael","Owen","Patrik","Berger"
2,"Liverpool",5,"Danny","Murphy","Alaves",4,"Cosmin","Contra","2001-05-16","BVB Stadion Dortmund","Javi","Moreno","Juan","Pablo"
2,"Liverpool",5,"Danny","Murphy","Alaves",4,"Antonio","Karmona","2001-05-16","BVB Stadion Dortmund","Michael","Owen","Patrik","Berger"
5,"West Germany",3,"Helmut","Rahn","Hungary",2,"Gyula","Lorant","1954-07-04","Wankdorf Stadium",NULL,NULL,NULL,NULL
4,"Brazil",1,"","Clodoaldo","England",0,"Terence","Cooper","1970-06-07","Jalisco Stadium","Bobby","Charlton","Jeff","Astle"
8,"Manchester United",2,"Peter","Schmeichel","Bayern",1,"Lothar","Matthaus","1999-05-26","Camp Nou","Andy","Cole","Ole","Gunnar Solskjaer"
8,"Manchester United",2,"Jaap","Stam","Bayern",1,"Oliver","Kahn","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
3,"France",2,"Zinedine","Zidane","Portugal",1,"Vitor","Baia","2000-06-28","King Baudouin Stadium","Nicolas","Anelka","Sylvain","Wiltord"
3,"France",2,"Thierry","Henry","Portugal",1,"Jorge","Costa","2000-06-28","King Baudouin Stadium","Thierry","Henry","David","Trezeguet"
1,"Chelsea",4,"Didier","Drogba","Liverpool",4,"Jamie","Carragher","2009-04-14","Stamford Bridge","Alvaro","Arbeola","Ryan","Babel"
6,"Milan",3,"Hernan","Crespo","Liverpool",3,"Steven","Gerrard","2005-05-25","Ataturk Olimpiyat Stadyumu","Steve","Finnan","Dietmar","Hamann"
7,"Argentina",2,"Jorge","Valdano","England",1,"Steve","Hodge","1986-06-22","Estadio Azteca","Trevor","Steven","John","Barnes"
10,"Italy",4,"Giancarlo","De Sisti","West Germany",3,"Gerd","Muller","1970-06-17","Estadio Azteca","Sandro","Mazzola","Gianni","Rivera"
6,"Milan",3,"Andrea","Pirlo","Liverpool",3,"Harry","Kewell","2005-05-25","Ataturk Olimpiyat Stadyumu","Gennaro","Gattuso","Rui","Costa"
8,"Manchester United",2,"Jaap","Stam","Bayern",1,"Samuel","Kuffour","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
10,"Italy",4,"Gigi","Riva","West Germany",3,"Wolfgang","Overath","1970-06-17","Estadio Azteca","Bernd","Patzke","Sigfried","Held"
4,"Brazil",1,"Carlos","Alberto Torres","England",0,"Alan","Mullery","1970-06-07","Jalisco Stadium","Bobby","Charlton","Jeff","Astle"
2,"Liverpool",5,"Danny","Murphy","Alaves",4,"Dan","Eggen","2001-05-16","BVB Stadion Dortmund","Martin","Astudillo","Mocellin","Magno"
9,"Italy",3,"Alessandro","Costacurta","Brazil",3,"","Leonardo","1997-06-08","Stade de Gerland","Mauro","Silva","Flavio","Conceicao"
5,"West Germany",3,"Fritz","Walter","Hungary",2,"Mihaly","Toth","1954-07-04","Wankdorf Stadium",NULL,NULL,NULL,NULL
2,"Liverpool",5,"Didi","Hamann","Alaves",4,"Martin","Herrera","2001-05-16","BVB Stadion Dortmund","Stephane","Henchoz","Vladimir","Smicer"
1,"Chelsea",4,"Branislav","Ivanovic","Liverpool",4,"Javier","Mascherano","2009-04-14","Stamford Bridge","Didier","Drogba","Franco","Di Santo"
2,"Liverpool",5,"Steven","Gerrard","Alaves",4,"Cosmin","Contra","2001-05-16","BVB Stadion Dortmund","Michael","Owen","Patrik","Berger"
2,"Liverpool",5,"Sami","Hyypia","Alaves",4,"Jordi","Cruyff","2001-05-16","BVB Stadion Dortmund","Javi","Moreno","Juan","Pablo"
8,"Manchester United",2,"Ryan","Giggs","Bayern",1,"Stefan","Effenberg","1999-05-26","Camp Nou","Jesper","Blomqvist","Teddy","Sheringham"
6,"Milan",3,"Hernan","Crespo","Liverpool",3,"Djimi","Traore","2005-05-25","Ataturk Olimpiyat Stadyumu","Clarence","Seedorf","","Serginho"
9,"Italy",3,"Paolo","Maldini","Brazil",3,"","Romario","1997-06-08","Stade de Gerland","Dino","Baggio","Diego","Fuser"
8,"Manchester United",2,"Andy","Cole","Bayern",1,"Samuel","Kuffour","1999-05-26","Camp Nou","Lothar","Matthaus","Thorsten","Fink"
1,"Chelsea",4,"Ricardo","Carvalho","Liverpool",4,"Fabio","Aurelio","2009-04-14","Stamford Bridge","Fernando","Torres","David","Ngog"
10,"Italy",4,"Tarcisio","Burgnich","West Germany",3,"Bernd","Patzke","1970-06-17","Estadio Azteca","Sandro","Mazzola","Gianni","Rivera"
9,"Italy",3,"Alessandro","Del Piero","Brazil",3,"","Romario","1997-06-08","Stade de Gerland","Christian","Vieri","Filippo","Inzaghi"
9,"Italy",3,"Demetrio","Albertini","Brazil",3,"","Leonardo","1997-06-08","Stade de Gerland","Christian","Vieri","Filippo","Inzaghi"
3,"France",2,"Marcel","Desailly","Portugal",1,"Sergio","Conceicao","2000-06-28","King Baudouin Stadium","Thierry","Henry","David","Trezeguet"
4,"Brazil",1,"","Clodoaldo","England",0,"Martin","Stanford Peters","1970-06-07","Jalisco Stadium","Bobby","Charlton","Jeff","Astle"
3,"France",2,"Nicolas","Anelka","Portugal",1,"Fernando","Couto","2000-06-28","King Baudouin Stadium","Jose","Luis Vidigal","Paulo","Bento"
1,"Chelsea",4,"Ricardo","Carvalho","Liverpool",4,"Jamie","Carragher","2009-04-14","Stamford Bridge","Fernando","Torres","David","Ngog"
6,"Milan",3,"","Cafu","Liverpool",3,"Jerzy","Dudek","2005-05-25","Ataturk Olimpiyat Stadyumu","Gennaro","Gattuso","Rui","Costa"
8,"Manchester United",2,"Peter","Schmeichel","Bayern",1,"Carsten","Jancker","1999-05-26","Camp Nou","Lothar","Matthaus","Thorsten","Fink"
3,"France",2,"Lilian","Thuram","Portugal",1,"","Dimas","2000-06-28","King Baudouin Stadium","Thierry","Henry","David","Trezeguet"
1,"Chelsea",4,"Petr","Cech","Liverpool",4,"Jamie","Carragher","2009-04-14","Stamford Bridge","Javier","Mascherano","Albert","Riera"
1,"Chelsea",4,"Ricardo","Carvalho","Liverpool",4,"Pepe","Reina","2009-04-14","Stamford Bridge","Fernando","Torres","David","Ngog"
3,"France",2,"Bixente","Lizarazu","Portugal",1,"Abel","Xavier","2000-06-28","King Baudouin Stadium","","Dimas","Rui","Jorge"
3,"France",2,"Zinedine","Zidane","Portugal",1,"Fernando","Couto","2000-06-28","King Baudouin Stadium","Nicolas","Anelka","Sylvain","Wiltord"
1,"Chelsea",4,"Michael","Essien","Liverpool",4,"Xabi","Alonso","2009-04-14","Stamford Bridge","Salomon","Kalou","Nicolas","Anelka"
8,"Manchester United",2,"Peter","Schmeichel","Bayern",1,"Samuel","Kuffour","1999-05-26","Camp Nou","Lothar","Matthaus","Thorsten","Fink"
2,"Liverpool",5,"Danny","Murphy","Alaves",4,"Hermes","Desio","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
10,"Italy",4,"Roberto","Rosato","West Germany",3,"Jurgen","Grabowski","1970-06-17","Estadio Azteca","Hannes","Lohr","Reinhard","Libuda"
1,"Chelsea",4,"Ashley","Cole","Liverpool",4,"Yossi","Benayoun","2009-04-14","Stamford Bridge","Alvaro","Arbeola","Ryan","Babel"
1,"Chelsea",4,"Ricardo","Carvalho","Liverpool",4,"Pepe","Reina","2009-04-14","Stamford Bridge","Alvaro","Arbeola","Ryan","Babel"
6,"Milan",3,"Gennaro","Gattuso","Liverpool",3,"Sami","Hyypia","2005-05-25","Ataturk Olimpiyat Stadyumu","Clarence","Seedorf","","Serginho"
3,"France",2,"Marcel","Desailly","Portugal",1,"Luis","Figo","2000-06-28","King Baudouin Stadium","Thierry","Henry","David","Trezeguet"
1,"Chelsea",4,"Didier","Drogba","Liverpool",4,"Yossi","Benayoun","2009-04-14","Stamford Bridge","Salomon","Kalou","Nicolas","Anelka"
3,"France",2,"Laurent","Blanc","Portugal",1,"","Dimas","2000-06-28","King Baudouin Stadium","","Dimas","Rui","Jorge"
6,"Milan",3,"Andriy","Shevchenko","Liverpool",3,"John","Arne Riise","2005-05-25","Ataturk Olimpiyat Stadyumu","Milan","Baros","Djibril","Cisse"
8,"Manchester United",2,"Jaap","Stam","Bayern",1,"Samuel","Kuffour","1999-05-26","Camp Nou","Andy","Cole","Ole","Gunnar Solskjaer"
3,"France",2,"Lilian","Thuram","Portugal",1,"Nuno","Gomes","2000-06-28","King Baudouin Stadium","Rui","Costa","Joao","Pinto"
6,"Milan",3,"Alessandro","Nesta","Liverpool",3,"Jerzy","Dudek","2005-05-25","Ataturk Olimpiyat Stadyumu","Hernan","Crespo","Jon","Dahl Tomasson"
1,"Chelsea",4,"","Alex","Liverpool",4,"Fabio","Aurelio","2009-04-14","Stamford Bridge","Fernando","Torres","David","Ngog"
7,"Argentina",2,"Julio","Olartcoechea","England",1,"Gary","Lineker","1986-06-22","Estadio Azteca","Jorge","Burruchaga","Carlos","Daniel Tapia"
3,"France",2,"Emmanuel","Petit","Portugal",1,"","Dimas","2000-06-28","King Baudouin Stadium","Emmanuel","Petit","Robert","Pires"
8,"Manchester United",2,"Dwight","Yorke","Bayern",1,"Michael","Tarnat","1999-05-26","Camp Nou","Mario","Basler","Hasan","Salihamidzic"
3,"France",2,"Didier","Deschamps","Portugal",1,"Jorge","Costa","2000-06-28","King Baudouin Stadium","Thierry","Henry","David","Trezeguet"
1,"Chelsea",4,"Michael","Essien","Liverpool",4,"Pepe","Reina","2009-04-14","Stamford Bridge","Didier","Drogba","Franco","Di Santo"
1,"Chelsea",4,"Ashley","Cole","Liverpool",4,"Javier","Mascherano","2009-04-14","Stamford Bridge","Fernando","Torres","David","Ngog"
10,"Italy",4,"Mario","Bertini","West Germany",3,"Franz","Beckenbauer","1970-06-17","Estadio Azteca","Hannes","Lohr","Reinhard","Libuda"
1,"Chelsea",4,"Ricardo","Carvalho","Liverpool",4,"Alvaro","Arbeola","2009-04-14","Stamford Bridge","Didier","Drogba","Franco","Di Santo"
10,"Italy",4,"Sandro","Mazzola","West Germany",3,"Franz","Beckenbauer","1970-06-17","Estadio Azteca","Sandro","Mazzola","Gianni","Rivera"
6,"Milan",3,"","Dida","Liverpool",3,"Sami","Hyypia","2005-05-25","Ataturk Olimpiyat Stadyumu","Hernan","Crespo","Jon","Dahl Tomasson"
3,"France",2,"Laurent","Blanc","Portugal",1,"Fernando","Couto","2000-06-28","King Baudouin Stadium","Rui","Costa","Joao","Pinto"
9,"Italy",3,"Roberto","Di Matteo","Brazil",3,"","Aldair","1997-06-08","Stade de Gerland","Mauro","Silva","Flavio","Conceicao"
10,"Italy",4,"Mario","Bertini","West Germany",3,"Karl-Heinz","Schnellinger","1970-06-17","Estadio Azteca","Sandro","Mazzola","Gianni","Rivera"
6,"Milan",3,"","Kaka","Liverpool",3,"Harry","Kewell","2005-05-25","Ataturk Olimpiyat Stadyumu","Clarence","Seedorf","","Serginho"
6,"Milan",3,"Clarence","Seedorf","Liverpool",3,"Luis","Garcia","2005-05-25","Ataturk Olimpiyat Stadyumu","Clarence","Seedorf","","Serginho"
6,"Milan",3,"Paolo","Maldini","Liverpool",3,"Steve","Finnan","2005-05-25","Ataturk Olimpiyat Stadyumu","Clarence","Seedorf","","Serginho"
2,"Liverpool",5,"Steven","Gerrard","Alaves",4,"Dan","Eggen","2001-05-16","BVB Stadion Dortmund","Martin","Astudillo","Mocellin","Magno"
2,"Liverpool",5,"Didi","Hamann","Alaves",4,"Ivan","Tomic","2001-05-16","BVB Stadion Dortmund","Michael","Owen","Patrik","Berger"
5,"West Germany",3,"Fritz","Walter","Hungary",2,"Mihaly","Lantos","1954-07-04","Wankdorf Stadium",NULL,NULL,NULL,NULL
1,"Chelsea",4,"","Alex","Liverpool",4,"Xabi","Alonso","2009-04-14","Stamford Bridge","Javier","Mascherano","Albert","Riera"
3,"France",2,"Patrick","Vieira","Portugal",1,"Jorge","Costa","2000-06-28","King Baudouin Stadium","Emmanuel","Petit","Robert","Pires"
1,"Chelsea",4,"Didier","Drogba","Liverpool",4,"Alvaro","Arbeola","2009-04-14","Stamford Bridge","Didier","Drogba","Franco","Di Santo"
9,"Italy",3,"Christian","Vieri","Brazil",3,"Celio","Silva","1997-06-08","Stade de Gerland","Mauro","Silva","Flavio","Conceicao"
4,"Brazil",1,"","Clodoaldo","England",0,"Alan","Ball Jr.","1970-06-07","Jalisco Stadium","","Tostao","Roberto","Lopes de Miranda"
1,"Chelsea",4,"Branislav","Ivanovic","Liverpool",4,"Alvaro","Arbeola","2009-04-14","Stamford Bridge","Fernando","Torres","David","Ngog"
2,"Liverpool",5,"Didi","Hamann","Alaves",4,"Hermes","Desio","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
1,"Chelsea",4,"Frank","Lampard","Liverpool",4,"Jamie","Carragher","2009-04-14","Stamford Bridge","Salomon","Kalou","Nicolas","Anelka"
2,"Liverpool",5,"Sander","Westerveld","Alaves",4,"Martin","Herrera","2001-05-16","BVB Stadion Dortmund","Martin","Astudillo","Mocellin","Magno"
8,"Manchester United",2,"Ryan","Giggs","Bayern",1,"Alexander","Zickler","1999-05-26","Camp Nou","Andy","Cole","Ole","Gunnar Solskjaer"
1,"Chelsea",4,"Michael","Ballack","Liverpool",4,"Alvaro","Arbeola","2009-04-14","Stamford Bridge","Javier","Mascherano","Albert","Riera"
3,"France",2,"Fabien","Barthez","Portugal",1,"Jose","Luis Vidigal","2000-06-28","King Baudouin Stadium","Rui","Costa","Joao","Pinto"
10,"Italy",4,"Enrico","Albertosi","West Germany",3,"Hannes","Lohr","1970-06-17","Estadio Azteca","Hannes","Lohr","Reinhard","Libuda"
10,"Italy",4,"Gigi","Riva","West Germany",3,"Jurgen","Grabowski","1970-06-17","Estadio Azteca","Bernd","Patzke","Sigfried","Held"
7,"Argentina",2,"Diego","Maradona","England",1,"Peter","Shilton","1986-06-22","Estadio Azteca","Jorge","Burruchaga","Carlos","Daniel Tapia"
7,"Argentina",2,"Oscar","Ruggeri","England",1,"Steve","Hodge","1986-06-22","Estadio Azteca","Jorge","Burruchaga","Carlos","Daniel Tapia"
2,"Liverpool",5,"Sander","Westerveld","Alaves",4,"Cosmin","Contra","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
6,"Milan",3,"Jaap","Stam","Liverpool",3,"Djimi","Traore","2005-05-25","Ataturk Olimpiyat Stadyumu","Steve","Finnan","Dietmar","Hamann"
9,"Italy",3,"Attilio","Lombardo","Brazil",3,"","Romario","1997-06-08","Stade de Gerland","Dino","Baggio","Diego","Fuser"
9,"Italy",3,"Christian","Vieri","Brazil",3,"Roberto","Carlos","1997-06-08","Stade de Gerland","Mauro","Silva","Flavio","Conceicao"
5,"West Germany",3,"Fritz","Walter","Hungary",2,"Ferenc","Puskas","1954-07-04","Wankdorf Stadium",NULL,NULL,NULL,NULL
2,"Liverpool",5,"Gary","McAllister","Alaves",4,"Dan","Eggen","2001-05-16","BVB Stadion Dortmund","Javi","Moreno","Juan","Pablo"
8,"Manchester United",2,"Jesper","Blomqvist","Bayern",1,"Oliver","Kahn","1999-05-26","Camp Nou","Lothar","Matthaus","Thorsten","Fink"
4,"Brazil",1,"Carlos","Alberto Torres","England",0,"Brian","Labone","1970-06-07","Jalisco Stadium","","Tostao","Roberto","Lopes de Miranda"
10,"Italy",4,"Tarcisio","Burgnich","West Germany",3,"Karl-Heinz","Schnellinger","1970-06-17","Estadio Azteca","Roberto","Rosato","Fabrizio","Poletti"
8,"Manchester United",2,"David","Beckham","Bayern",1,"Alexander","Zickler","1999-05-26","Camp Nou","Mario","Basler","Hasan","Salihamidzic"
10,"Italy",4,"Gigi","Riva","West Germany",3,"Karl-Heinz","Schnellinger","1970-06-17","Estadio Azteca","Hannes","Lohr","Reinhard","Libuda"
2,"Liverpool",5,"Steven","Gerrard","Alaves",4,"Javi","Moreno","2001-05-16","BVB Stadion Dortmund","Stephane","Henchoz","Vladimir","Smicer"
4,"Brazil",1,"","Pele","England",0,"Gordon","Banks","1970-06-07","Jalisco Stadium","","Tostao","Roberto","Lopes de Miranda"
6,"Milan",3,"Alessandro","Nesta","Liverpool",3,"Steve","Finnan","2005-05-25","Ataturk Olimpiyat Stadyumu","Gennaro","Gattuso","Rui","Costa"
4,"Brazil",1,"","Caju","England",0,"Gordon","Banks","1970-06-07","Jalisco Stadium","Francis","Henry Lee","Colin","Bell"
3,"France",2,"Laurent","Blanc","Portugal",1,"","Costinha","2000-06-28","King Baudouin Stadium","","Dimas","Rui","Jorge"
3,"France",2,"Zinedine","Zidane","Portugal",1,"Jose","Luis Vidigal","2000-06-28","King Baudouin Stadium","","Dimas","Rui","Jorge"
3,"France",2,"Didier","Deschamps","Portugal",1,"Rui","Costa","2000-06-28","King Baudouin Stadium","Emmanuel","Petit","Robert","Pires"
9,"Italy",3,"Fabio","Cannavaro","Brazil",3,"","Cafu","1997-06-08","Stade de Gerland","Mauro","Silva","Flavio","Conceicao"
3,"France",2,"Zinedine","Zidane","Portugal",1,"Nuno","Gomes","2000-06-28","King Baudouin Stadium","Jose","Luis Vidigal","Paulo","Bento"
3,"France",2,"Bixente","Lizarazu","Portugal",1,"","Dimas","2000-06-28","King Baudouin Stadium","Thierry","Henry","David","Trezeguet"
2,"Liverpool",5,"Sami","Hyypia","Alaves",4,"Ivan","Tomic","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
3,"France",2,"Patrick","Vieira","Portugal",1,"","Dimas","2000-06-28","King Baudouin Stadium","Jose","Luis Vidigal","Paulo","Bento"
10,"Italy",4,"Pierluigi","Cera","West Germany",3,"Bernd","Patzke","1970-06-17","Estadio Azteca","Sandro","Mazzola","Gianni","Rivera"
2,"Liverpool",5,"Markus","Babbel","Alaves",4,"Jordi","Cruyff","2001-05-16","BVB Stadion Dortmund","Michael","Owen","Patrik","Berger"
8,"Manchester United",2,"Nicky","Butt","Bayern",1,"Oliver","Kahn","1999-05-26","Camp Nou","Jesper","Blomqvist","Teddy","Sheringham"
10,"Italy",4,"Sandro","Mazzola","West Germany",3,"Hannes","Lohr","1970-06-17","Estadio Azteca","Bernd","Patzke","Sigfried","Held"
2,"Liverpool",5,"Gary","McAllister","Alaves",4,"Javi","Moreno","2001-05-16","BVB Stadion Dortmund","Dan","Eggen","Ivan","Alonso"
5,"West Germany",3,"Toni","Turek","Hungary",2,"Nandor","Hidegkuti","1954-07-04","Wankdorf Stadium",NULL,NULL,NULL,NULL
8,"Manchester United",2,"Peter","Schmeichel","Bayern",1,"Stefan","Effenberg","1999-05-26","Camp Nou","Andy","Cole","Ole","Gunnar Solskjaer"
7,"Argentina",2,"Julio","Olartcoechea","England",1,"Gary","M. Stevens","1986-06-22","Estadio Azteca","Trevor","Steven","John","Barnes"
3,"France",2,"Bixente","Lizarazu","Portugal",1,"Jorge","Costa","2000-06-28","King Baudouin Stadium","","Dimas","Rui","Jorge"
